date,name,price
2025-04-01,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
2025-04-01,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1625
2025-04-01,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1895
2025-04-01,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1175
2025-04-01,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-01,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1485
2025-04-01,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-01,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1695
2025-04-01,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-01,Google Pixel 8 Pro 5G 128GB 12GB RAM Dual-SIM,1074
2025-04-01,Google Pixel 6a 5G 128GB 6GB RAM,599
2025-04-01,Google Pixel 6 Pro 5G 128GB 12GB RAM,599
2025-04-03,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
2025-04-03,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1625
2025-04-03,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,0
2025-04-03,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1175
2025-04-03,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-03,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1492
2025-04-03,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-03,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,0
2025-04-03,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-03,Google Pixel 8 Pro 5G 128GB 12GB RAM Dual-SIM,0
2025-04-03,Google Pixel 6a 5G 128GB 6GB RAM,0
2025-04-03,Google Pixel 6 Pro 5G 128GB 12GB RAM,599
2025-04-04,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
2025-04-04,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1175
